latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight,source,temp_c,datetime,dt_nearest_hour
34.20771,-118.05827,326.71,0.64,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,285.85,11.11,N,J2,12.700000000000045,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.20904,-118.09344,302.44,0.64,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,280.6,2.09,N,J2,7.4500000000000455,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.20882,-118.08756,296.29,0.64,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,281.73,2.09,N,J2,8.580000000000041,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.20845,-118.0779,316.34,0.64,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,282.41,6.79,N,J2,9.260000000000048,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.20441,-118.14849,295.17,0.65,0.73,2025-01-09,08:41,N21,nominal,2.0NRT,282.29,2.39,N,J2,9.140000000000043,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.08822,-118.53068,337.46,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,292.46,22.68,N,J2,19.310000000000002,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.08804,-118.52406,367.0,0.68,0.74,2025-01-09,08:41,N21,high,2.0NRT,299.0,22.68,N,J2,25.850000000000023,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.08923,-118.56838,314.57,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,284.86,22.88,N,J2,11.710000000000036,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.08897,-118.5582,301.39,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,285.66,6.42,N,J2,12.510000000000048,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.0815,-118.5816,367.0,0.68,0.74,2025-01-09,08:41,N21,high,2.0NRT,296.17,35.54,N,J2,23.02000000000004,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.0813,-118.57521,367.0,0.68,0.74,2025-01-09,08:41,N21,high,2.0NRT,292.73,35.54,N,J2,19.58000000000004,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.0811,-118.56898,339.97,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,287.69,7.51,N,J2,14.54000000000002,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.08082,-118.56026,311.0,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,283.43,7.51,N,J2,10.28000000000003,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.07944,-118.51742,307.5,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,286.3,3.51,N,J2,13.150000000000034,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.07922,-118.51037,296.57,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,283.45,2.1,N,J2,10.300000000000011,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.07759,-118.6758,303.99,0.69,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,283.14,2.25,N,J2,9.990000000000009,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.07567,-118.61394,313.68,0.69,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,283.82,4.56,N,J2,10.670000000000016,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.07405,-118.56218,318.81,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,285.94,7.51,N,J2,12.79000000000002,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.07373,-118.5519,299.49,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,283.49,3.58,N,J2,10.340000000000032,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.07071,-118.67532,367.0,0.69,0.74,2025-01-09,08:41,N21,high,2.0NRT,296.93,61.0,N,J2,23.78000000000003,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.06884,-118.61414,320.87,0.69,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,285.02,6.07,N,J2,11.870000000000005,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.07038,-118.66469,297.41,0.69,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,281.57,21.22,N,J2,8.420000000000016,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.0693,-118.62918,300.34,0.69,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,281.26,1.87,N,J2,8.110000000000014,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.06864,-118.6078,315.32,0.69,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,283.95,3.65,N,J2,10.800000000000011,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.06845,-118.6017,305.25,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,283.21,3.65,N,J2,10.060000000000002,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.06723,-118.56203,298.03,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,285.26,1.64,N,J2,12.110000000000014,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.05998,-118.54856,324.07,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,283.26,6.48,N,J2,10.110000000000014,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.05322,-118.55074,298.17,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,283.1,2.69,N,J2,9.950000000000045,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.05233,-118.5218,296.52,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,285.43,2.16,N,J2,12.28000000000003,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.04646,-118.5526,312.68,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,283.8,2.69,N,J2,10.650000000000034,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.04623,-118.5453,311.77,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,287.35,4.57,N,J2,14.200000000000045,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.04601,-118.53809,309.26,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,286.51,4.57,N,J2,13.360000000000014,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.08176,-118.58967,367.0,0.68,0.74,2025-01-09,08:41,N21,high,2.0NRT,293.75,36.99,N,J2,20.600000000000023,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.19476,-118.14783,300.82,0.65,0.73,2025-01-09,08:41,N21,nominal,2.0NRT,285.76,2.05,N,J2,12.610000000000014,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.08202,-118.59769,367.0,0.68,0.74,2025-01-09,08:41,N21,high,2.0NRT,284.65,36.99,N,J2,11.5,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.08684,-118.5355,311.76,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,288.88,70.34,N,J2,15.730000000000018,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.08871,-118.54879,311.55,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,284.86,6.42,N,J2,11.710000000000036,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.08853,-118.54201,310.56,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,288.14,8.84,N,J2,14.990000000000009,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.08783,-118.51618,297.84,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,282.92,5.91,N,J2,9.770000000000039,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.0832,-118.59861,345.03,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,282.85,31.79,N,J2,9.700000000000045,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.08299,-118.59057,367.0,0.68,0.74,2025-01-09,08:41,N21,high,2.0NRT,295.07,49.92,N,J2,21.920000000000016,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.08278,-118.5827,367.0,0.68,0.74,2025-01-09,08:41,N21,high,2.0NRT,295.95,49.92,N,J2,22.80000000000001,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.08261,-118.57607,367.0,0.68,0.74,2025-01-09,08:41,N21,high,2.0NRT,293.68,22.88,N,J2,20.53000000000003,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.08245,-118.56987,367.0,0.68,0.74,2025-01-09,08:41,N21,high,2.0NRT,292.61,22.88,N,J2,19.460000000000036,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.08222,-118.56129,308.23,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,283.15,6.42,N,J2,10.0,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.08107,-118.51801,305.81,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,285.6,5.91,N,J2,12.450000000000045,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.08087,-118.5108,298.64,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,283.5,5.91,N,J2,10.350000000000023,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.09428,-118.55453,346.42,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,287.11,21.74,N,J2,13.960000000000036,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.09403,-118.54699,349.31,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,296.56,47.3,N,J2,23.410000000000025,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.09384,-118.54105,367.0,0.68,0.74,2025-01-09,08:41,N21,high,2.0NRT,303.93,47.3,N,J2,30.78000000000003,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.09366,-118.53548,354.32,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,324.37,70.34,N,J2,51.22000000000003,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.09347,-118.52952,336.33,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,306.75,70.34,N,J2,33.60000000000002,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.09322,-118.52195,347.57,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,305.2,33.84,N,J2,32.05000000000001,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.09294,-118.51353,299.12,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,283.2,33.84,N,J2,10.050000000000011,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.08855,-118.58831,323.17,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,284.04,5.35,N,J2,10.890000000000043,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.0879,-118.56786,367.0,0.68,0.74,2025-01-09,08:41,N21,high,2.0NRT,290.1,21.74,N,J2,16.950000000000045,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.08645,-118.52332,340.17,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,288.46,33.84,N,J2,15.310000000000002,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.08755,-118.55727,298.0,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,284.53,21.74,N,J2,11.379999999999995,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.08703,-118.54129,297.51,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,285.16,47.3,N,J2,12.010000000000048,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.08666,-118.52995,308.26,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,287.85,70.34,N,J2,14.700000000000045,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.04578,-118.53066,299.41,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,284.61,2.16,N,J2,11.460000000000036,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.19499,-118.1554,304.15,0.65,0.73,2025-01-09,08:41,N21,nominal,2.0NRT,284.93,2.05,N,J2,11.78000000000003,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.20141,-118.14642,298.53,0.65,0.73,2025-01-09,08:41,N21,nominal,2.0NRT,284.57,3.92,N,J2,11.420000000000016,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.19871,-118.05993,296.39,0.64,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,282.25,5.01,N,J2,9.100000000000023,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
33.85184,-118.33241,301.75,0.66,0.73,2025-01-09,08:41,N21,nominal,2.0NRT,284.88,2.33,N,J2,11.730000000000018,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.03877,-118.52408,296.98,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,284.23,1.55,N,J2,11.080000000000041,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.03899,-118.53159,298.08,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,285.15,1.55,N,J2,12.0,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.03947,-118.54718,298.69,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,283.3,3.0,N,J2,10.150000000000034,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.03969,-118.55454,301.58,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,283.43,2.1,N,J2,10.28000000000003,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.22173,-118.15388,334.97,0.65,0.73,2025-01-09,08:41,N21,nominal,2.0NRT,282.88,7.01,N,J2,9.730000000000018,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.22143,-118.1446,299.79,0.65,0.73,2025-01-09,08:41,N21,nominal,2.0NRT,280.66,5.57,N,J2,7.510000000000048,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.04555,-118.52302,300.02,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,286.27,2.16,N,J2,13.120000000000005,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.21515,-118.15753,310.68,0.65,0.73,2025-01-09,08:41,N21,nominal,2.0NRT,281.35,7.01,N,J2,8.200000000000045,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.21279,-118.08321,331.58,0.64,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,285.0,5.06,N,J2,11.850000000000023,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.20529,-118.05727,320.12,0.64,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,285.53,5.01,N,J2,12.379999999999995,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.20546,-118.06264,330.38,0.64,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,286.67,5.01,N,J2,13.520000000000039,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.20578,-118.07273,304.91,0.64,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,283.21,5.4,N,J2,10.060000000000002,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.21298,-118.08936,308.28,0.64,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,281.84,3.04,N,J2,8.689999999999998,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.21313,-118.09404,295.14,0.64,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,281.71,3.04,N,J2,8.560000000000002,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.21489,-118.14928,312.25,0.65,0.73,2025-01-09,08:41,N21,nominal,2.0NRT,282.3,5.57,N,J2,9.150000000000034,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.21235,-118.06949,301.88,0.64,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,280.75,5.06,N,J2,7.600000000000023,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.07607,-118.61167,300.29,0.57,0.52,2025-01-09,09:09,N,nominal,2.0NRT,284.04,4.18,N,SUOMI,10.890000000000043,2025-01-09 09:09:00+00:00,2025-01-09 09:00:00+00:00
34.07172,-118.55837,307.59,0.57,0.52,2025-01-09,09:09,N,nominal,2.0NRT,284.6,2.58,N,SUOMI,11.450000000000045,2025-01-09 09:09:00+00:00,2025-01-09 09:00:00+00:00
34.07113,-118.55114,304.77,0.57,0.52,2025-01-09,09:09,N,nominal,2.0NRT,283.65,1.28,N,SUOMI,10.5,2025-01-09 09:09:00+00:00,2025-01-09 09:00:00+00:00
34.07641,-118.67632,336.22,0.58,0.52,2025-01-09,09:09,N,nominal,2.0NRT,288.15,3.59,N,SUOMI,15.0,2025-01-09 09:09:00+00:00,2025-01-09 09:00:00+00:00
34.07122,-118.61192,346.34,0.57,0.52,2025-01-09,09:09,N,nominal,2.0NRT,290.49,4.18,N,SUOMI,17.340000000000032,2025-01-09 09:09:00+00:00,2025-01-09 09:00:00+00:00
34.07572,-118.66763,298.12,0.58,0.52,2025-01-09,09:09,N,nominal,2.0NRT,283.51,3.59,N,SUOMI,10.360000000000014,2025-01-09 09:09:00+00:00,2025-01-09 09:00:00+00:00
34.07076,-118.60628,309.73,0.57,0.52,2025-01-09,09:09,N,nominal,2.0NRT,284.51,4.18,N,SUOMI,11.360000000000014,2025-01-09 09:09:00+00:00,2025-01-09 09:00:00+00:00
34.0703,-118.6007,318.85,0.57,0.52,2025-01-09,09:09,N,nominal,2.0NRT,284.45,2.52,N,SUOMI,11.300000000000011,2025-01-09 09:09:00+00:00,2025-01-09 09:00:00+00:00
